,00 UTC,01 UTC,02 UTC,03 UTC,04 UTC,05 UTC,06 UTC,07 UTC,08 UTC,09 UTC,10 UTC,11 UTC,12 UTC,13 UTC,14 UTC,15 UTC,16 UTC,17 UTC,18 UTC,19 UTC,20 UTC,21 UTC,22 UTC,23 UTC
10 UTC,0.12634008044255296,0.11483769376357061,0.13023469411154495,0.1403664962632747,0.14268892235688474,0.1367135307042442,0.10740267609057927,-0.003081257402891514,0.11747795622468453,0.1560114053248655,1.0,0.230993074568323,0.1446619322708972,0.05292891769264277,0.05236041129579021,0.04626843222447834,0.07947171763796199,0.06165920218823742,0.08367632946815004,-0.03632360555492801,0.014509687990502382,0.06649215212663744,0.005090492747285993,-0.006432216349594263
11 UTC,0.6586138834499049,0.5778730041092821,0.6125827585147146,0.8005261405514829,0.7554713897054345,0.8063899280573832,0.6809006514890884,0.12420788197646035,0.7148219038063074,0.7489560125138369,0.230993074568323,1.0,0.7492230548998863,0.48541178396170775,0.31881567447490167,0.17689857689311905,0.24724269125766263,0.1313906115079536,0.43567502677452663,-0.03526667208540316,0.10071802114584348,0.26731318827652883,0.05112424762960077,0.09631640823493957
12 UTC,0.711840280229261,0.1117497274388577,0.1276580410285918,0.26847596508290433,0.22007714017533833,0.28940495319157133,0.4677958753072877,0.22441566413500902,0.8596750101779225,0.7592457432775321,0.1446619322708972,0.7492230548998863,1.0,0.5012376636215096,0.6021249049612384,0.24396309521489748,0.26930502517006605,0.01673022608924932,0.7617161586872641,-0.028880547968415198,-0.016113198325968518,0.06179821201572005,0.03247044168023832,0.07603155000934125
13 UTC,0.15251062279495534,-0.027823388395905042,-0.014496209736666009,0.36066711093073933,0.21526759929471329,0.43259818914560516,0.8156492556432486,0.7978441121877349,0.8677556251529802,0.7112843777124478,0.05292891769264277,0.48541178396170775,0.5012376636215096,1.0,0.7148281123513228,0.48629008363859194,0.18240258866452566,-0.00421944372310659,0.24248772195996077,-0.018861761451690773,0.09760160143966672,0.18887497666333136,-0.02032523984095106,0.1463660902328991
14 UTC,0.40828876450147655,0.017910260965248396,0.030765476729490572,0.018976585709618403,0.025085581668703658,0.01559231816464665,0.24945032269757864,0.8748511071005325,0.7903946379421547,0.30712582718416886,0.05236041129579021,0.31881567447490167,0.6021249049612384,0.7148281123513228,1.0,0.6609665320020797,0.317567148798481,0.02129077915778211,0.4536295443967055,-0.039737773210340166,0.010499973030558803,-0.041545212583083815,0.0012469148174322432,0.05431535209125396
15 UTC,0.11664008014532191,-0.051701904892177304,-0.03879448322714425,-0.05535941691032336,-0.05004826104732537,-0.05533947505110303,0.12127816433683687,0.6635041817594294,0.44511760460197675,0.09157163243043663,0.04626843222447834,0.17689857689311905,0.24396309521489748,0.48629008363859194,0.6609665320020797,1.0,0.8537915127805852,0.7272326622013161,0.21898675784610247,-0.048359238600656954,0.5423668707214644,0.6344958935550605,0.28388977289446293,0.1319810877900775
16 UTC,0.16272562920632702,-0.045591342550287794,-0.034209427632476634,-0.045847662073632584,-0.044133140127300734,-0.04879899432853752,0.04481889569038749,0.21340683848851746,0.26720881518234296,0.12595180964468308,0.07947171763796199,0.24724269125766263,0.26930502517006605,0.18240258866452566,0.317567148798481,0.8537915127805852,1.0,0.9417882904223918,0.28397272687612884,-0.03950350416856316,0.670171102834664,0.8483230088521426,0.39012510036621034,0.1442034771448527
17 UTC,-0.01044486450754193,-0.03135764191420452,-0.02352918167754909,-0.03357595383909606,-0.030354692958094783,-0.033563858933079754,-0.020844546042918178,0.006198791746192241,0.008106068604105267,-0.005758335979760534,0.06165920218823742,0.1313906115079536,0.01673022608924932,-0.00421944372310659,0.02129077915778211,0.7272326622013161,0.9417882904223918,1.0,0.08333390721604919,-0.029330286581228465,0.7257652368864786,0.9265632074899283,0.41282973683684493,0.1408488530317569
18 UTC,0.5284905518328655,-0.04516330670797918,-0.03388825127853596,-0.005839178040339901,-0.01767323662460816,0.0021181762087917584,0.16525160509962583,0.09879745116837625,0.5741852664992807,0.46673919614867637,0.08367632946815004,0.43567502677452663,0.7617161586872641,0.24248772195996077,0.4536295443967055,0.21898675784610247,0.28397272687612884,0.08333390721604919,1.0,0.5659090402842938,-0.0006666972035262875,0.05582513017080379,0.6032342229753734,0.6213547501297269
19 UTC,-0.056796181217874504,-0.03611505037503753,-0.027098899333472138,-0.0148110243436519,-0.020774755436278245,-0.011174502495647427,-0.0017045816094328676,-0.030442602448378205,-0.02899311391096471,-0.005213879102247839,-0.03632360555492801,-0.03526667208540316,-0.028880547968415198,-0.018861761451690773,-0.039737773210340166,-0.048359238600656954,-0.03950350416856316,-0.029330286581228465,0.5659090402842938,1.0,-0.025201459296904476,-0.008875947815540863,0.8892286597742535,0.9625405544988475
20 UTC,-0.09248238686309888,-0.05880687730662746,-0.04412569362909241,0.019343848022177784,-0.006505516394422018,0.034737106170094116,0.0930187601180192,0.05962503986481115,0.04362184211365401,0.059342685214273466,0.014509687990502382,0.10071802114584348,-0.016113198325968518,0.09760160143966672,0.010499973030558803,0.5423668707214644,0.670171102834664,0.7257652368864786,-0.0006666972035262875,-0.025201459296904476,1.0,0.8060144309862893,0.2723779679502014,0.0975698906795184
21 UTC,-0.06746108197549672,-0.04289655257901118,-0.03218739412018364,0.15221976792828568,0.07985510100676842,0.18923864571285867,0.29148145469920506,0.009721400311846581,0.13238789170958798,0.25332242224556767,0.06649215212663744,0.26731318827652883,0.06179821201572005,0.18887497666333136,-0.041545212583083815,0.6344958935550605,0.8483230088521426,0.9265632074899283,0.05582513017080379,-0.008875947815540863,0.8060144309862893,1.0,0.3880531839775298,0.1924586731686727
22 UTC,-0.006682207220713906,-0.0417773014992516,-0.03134756496241377,-0.03627581837698411,-0.035260712521092356,-0.03468047775975493,-0.01959004033230655,-0.027554757913047446,0.00619146765422474,0.009741223613202265,0.005090492747285993,0.05112424762960077,0.03247044168023832,-0.02032523984095106,0.0012469148174322432,0.28388977289446293,0.39012510036621034,0.41282973683684493,0.6032342229753734,0.8892286597742535,0.2723779679502014,0.3880531839775298,1.0,0.9434156236333244
23 UTC,-0.02096468319537687,-0.04241629706144109,-0.03182703477443086,0.06163725367642903,0.02451763029443087,0.08164471072283888,0.16074714317301764,0.0683510850686337,0.12430869721243107,0.14985606668548568,-0.006432216349594263,0.09631640823493957,0.07603155000934125,0.1463660902328991,0.05431535209125396,0.1319810877900775,0.1442034771448527,0.1408488530317569,0.6213547501297269,0.9625405544988475,0.0975698906795184,0.1924586731686727,0.9434156236333244,1.0
